"place_id","rating","language","text","relative_time_description","time"
"ChIJbTlWpTeV9EcRE4OX91RWbfw",5,"fr","Garage Sérieu,  à l écoute, serviable et de bon  conseil. Allez y les yeux fermés !","3 months ago",1528702775
"ChIJbTlWpTeV9EcRE4OX91RWbfw",5,"fr","Super service. A conseiller !","4 months ago",1527708738
"ChIJbTlWpTeV9EcRE4OX91RWbfw",5,"fr","Garage top.\nServiable et à l'écoute.\nBien moins cher que les concessionnaires pour un travail aussi bon si ce n'est meilleur!\nJe recommande.","11 months ago",1509990635
"ChIJbTlWpTeV9EcRE4OX91RWbfw",5,"fr","Super pro et très bon conseil.","10 months ago",1510806703
"ChIJbTlWpTeV9EcRE4OX91RWbfw",5,"fr","Ecoute, service, prix, réactivité, tout est au RV\nEtablissement de confiance !","9 months ago",1513096017
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","You can find all the things you need","7 months ago",1518811080
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","Top","4 months ago",1527974996
"ChIJSUORfE6V9EcR8uDAIvjIOMk",3,"en","Correct","9 months ago",1512856745
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","cool","10 months ago",1511720798
"ChIJSUORfE6V9EcR8uDAIvjIOMk",1,"fr","Pas contente du tout, lors d' une révision on m'ajoute des disques de freins avec les plaquettes alors que les disques étaient encore bons. De plus ils n'ont jamais su me remettre mon compteur correct pour la prochaine INSPec. de la révision j'y suis retournée 3 fois....","in the last week",1538388799
"ChIJ6U8_v16V9EcRD-psBKJhsjU",4,"fr","Je n est pas mis 5 étoiles car il m avais donné un délai de 20 minutes et li est arrivé 35 minutes après j ai appris plus tard qu'il ya u un accident et que cela avait perturbé la circulation.\nAutrement pour le dépannage et La panne de mon véhicule j ai été à 100 pour  %  satisfait","a year ago",1503481492
"ChIJGxsWd--V9EcRJSBA1GTjZu0",5,"fr","Garage très professionnel et très sérieux, prix très attractifs et honnêtes. Personnel souriant et sympathique et de très bon conseil. Je recommande et je reviendrais.","a week ago",1537635770
"ChIJGxsWd--V9EcRJSBA1GTjZu0",5,"fr","J’y suis allé la semaine dernière et j’y ai trouvé des gens très réceptifs et hautement professionnels avec de très bons délais !\nJ’ai été bluffé par l’état de ma voiture, qui était comme neuve alors qu’elle venait d’avoir un bel accrochage. Un grand merci au Garage LÉO ! A vivemen recommander !","a week ago",1537520801
"ChIJGxsWd--V9EcRJSBA1GTjZu0",5,"fr","Garage et travail de carrosserie exceptionnel, de tres bonne qualite a un prix defiant toute concurrence sur le marche et pret a vous rendre service. Je recommande tres vivement, une equipe tres sympathique en plus.","3 weeks ago",1536696975
"ChIJGxsWd--V9EcRJSBA1GTjZu0",5,"fr","Merci du bon travail et du sérieux suite a la reparation de mon véhicule ! Je recommande fortement","a month ago",1534790409
"ChIJGxsWd--V9EcRJSBA1GTjZu0",5,"fr","J'ai tester le garage leo franchement impeccable j'en suis très satisfait je recommande a 100%","a month ago",1534807208
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",2,"fr","Aimable toujours. Rapide aussi. Mais efficace une fois sur deux. Je n'étais pas habituée des garages jusqu'à ce que je commence mon entretien chez Midas Caluire. Et depuis, j'ai un problème récurrent tous les 6 mois, avec toujours environ 300 euros de facture, étalée en 4 fois sans frais pour que la pilule passe mieux. J'étais plutôt convaincue de l'honnêteté il y a un an et demi. Aujourd'hui, plus du tout : j'ai récupéré ma voiture réparée de sa panne la dernière fois mais avec un pot d'échappement mal remonté = nouveau problème. J'ai changé de garagiste, trouvé beaucoup moins cher chez un petit indépendant 500m plus loin et je ne m'arrête plus lorsque je passe devant.","3 weeks ago",1536401077
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Rapide efficace et honnête. J'avais téléphoné la veille pour prendre rendez-vous mais pas besoin au vu de mon problème. Petite salle d'attente pour les petites interventions.\nÉquipe sérieuse et détendu.\nBonne continuation","2 months ago",1531206101
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Très bon garage !!! Donne de bon conseil et entretien bien votre véhicule. Merci A  l équipe de midas.","in the last week",1538377862
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",1,"fr","Service déplorable et des voleurs. \nUne première fois on m'a donné un rdv, je suis allée et c'était fermé. \nBon d'accord, je ne reviens plus et c'est fini.\nAujourd'hui nous sommes à jeudi debout août, plein  de garages sont fermés. J'ai dû venir a Midas la semaine dernière pour la réparation d'une durite (je savais, un garagiste de confiance me l'avais dit mais il ne pouvait pas faire la réparation) on me donne rdv pour lundi. Lundi on m'appelle et on me dit que la pièce n'avait pas arrivé du coup changement de rdv pour mardi. \nOk je modifie mon agenda. Mardi a 10h j'arrive a Midas et le même Adrien qui m'a foutu la m**  3 fois déjà me dit avec son sourire forcé de toujours que la pièce n'est pas arrivé, apparemment la maison ne la fabrique plus. Du coup j'ai bien perdu mon temps. Bravo Midas merci, je n'avais pas autre chose a faire.\nAujourd'hui a 11h je suis allé a un garage Renault (a Rillieux la Pape) qui m'a fait la réparation en 1seule h et ils mon fait économiser 100euros. Sans blague j'ai le devis.\n\nDu coup je suis finalement contente de ne plus retourner chez Midas et avoir croisé en revanche des professionnels honnêtes. Merci Midas.","a month ago",1533830339
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Accueil professionnel et sympathique, dommage que je déménage sinon j'en aurais fait mon garage d'entretien","a month ago",1534186913
"ChIJWWx63_-_9EcR4uXmL5dJscE",5,"fr","Très bon garage","a week ago",1537823237
"ChIJWWx63_-_9EcR4uXmL5dJscE",5,"fr","un vrai garagiste, du conseil, de l'écoute, aimable, arrangeant, et des tarifs très raisonnables. Bien mieux que les garages des marques.","10 months ago",1512203175
"ChIJWWx63_-_9EcR4uXmL5dJscE",1,"fr","Escroc...","a year ago",1504076046
"ChIJWWx63_-_9EcR4uXmL5dJscE",5,,"","a month ago",1535083493
"ChIJWWx63_-_9EcR4uXmL5dJscE",1,,"","5 months ago",1523095168
"ChIJ2XGT2MO_9EcRICKmPypw9Ao",5,"fr","Personnel très professionnel \nAccueil agréable et chaleureux\nExcellente Mise en main de mon vehicule neuf par un vrai pro. Le véhicule était bâché et extrêmement propre...merci","in the last week",1538115939
"ChIJ2XGT2MO_9EcRICKmPypw9Ao",1,"fr","Il serait souhaitable d'indiquer que seule la partie commerciale ferme à 19h. Cela éviterait d'importuner le jeune homme côté atelier, manifestement épuisé de sa journée qui m'a répondu sèchement qu'il devrait être parti depuis une demi-heure (à 18h30). Même si le ton à été suffisamment désagréable pour que je n'ai pas l'intention d'y revenir, je peux comprendre qu'il fatigue à le répéter sans doute quotidiennement...","a month ago",1534527772
"ChIJ2XGT2MO_9EcRICKmPypw9Ao",5,"fr","Accueil sympathique  personnel courtois et conseils avisés,tarifs corrects, rapidité d'intervention prise DE RDV très facile et conventionné avec de nombreuses assurances. Bref à recommander","2 weeks ago",1536913469
